Level,Type,Holdout Institutes,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
sample,Institute,"1,2",Screen,0.8114035087719298,0.5483870967741935,0.6111111111111112,"[0.0, 0.0, 0.0, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.631578947368421, 0.631578947368421, 0.8421052631578947, 0.8421052631578947, 1.0]","[0.0, 0.08333333333333333, 0.5, 0.5, 0.5833333333333334, 0.5833333333333334, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]","[inf, 0.5833538174629211, 0.5599610209465027, 0.5434134602546692, 0.5431244969367981, 0.5414807200431824, 0.5287237167358398, 0.5069148540496826, 0.5058187246322632, 0.48536497354507446, 0.4775266647338867, 0.4168439209461212]",11,6,13,1
sample,Institute,"1,2",Day 0,0.9473684210526316,0.6206896551724138,0.6206896551724138,"[0.0, 0.0, 0.0, 0.5263157894736842, 0.5263157894736842, 1.0]","[0.0, 0.1, 0.9, 0.9, 1.0, 1.0]","[inf, 0.5860600471496582, 0.542846143245697, 0.5012906789779663, 0.4993820786476135, 0.4345555007457733]",9,9,10,1
sample,Institute,"1,2",Adj Wk 1,0.8333333333333335,0.52,0.6,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 0.26666666666666666, 0.26666666666666666, 0.8666666666666667, 0.8666666666666667, 1.0]","[0.0, 0.1, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]","[inf, 0.5923680663108826, 0.5702604055404663, 0.5641067028045654, 0.558758020401001, 0.5446380972862244, 0.5326684713363647, 0.5291089415550232, 0.528150200843811, 0.49926498532295227, 0.49493634700775146, 0.4708390235900879]",9,4,11,1
sample,Institute,"1,2",Overall,0.8655660377358491,0.5647058823529412,0.6105263157894737,"[0.0, 0.0, 0.0, 0.018867924528301886, 0.018867924528301886, 0.05660377358490566, 0.05660377358490566, 0.11320754716981132, 0.11320754716981132, 0.1509433962264151, 0.1509433962264151, 0.18867924528301888, 0.18867924528301888, 0.20754716981132076, 0.20754716981132076, 0.22641509433962265, 0.22641509433962265, 0.5471698113207547, 0.5471698113207547, 0.660377358490566, 0.660377358490566, 0.7358490566037735, 0.7358490566037735, 0.7924528301886793, 0.7924528301886793, 1.0]","[0.0, 0.03125, 0.46875, 0.46875, 0.59375, 0.59375, 0.625, 0.625, 0.6875, 0.6875, 0.71875, 0.71875, 0.75, 0.75, 0.8125, 0.8125, 0.875, 0.875, 0.90625, 0.90625, 0.9375, 0.9375, 0.96875, 0.96875, 1.0, 1.0]","[inf, 0.5923680663108826, 0.566551923751831, 0.5641067028045654, 0.5582988858222961, 0.5529482960700989, 0.5511841177940369, 0.5434134602546692, 0.542846143245697, 0.5414807200431824, 0.5411978363990784, 0.5340293645858765, 0.5333722233772278, 0.5330618023872375, 0.5298024415969849, 0.5291089415550232, 0.528150200843811, 0.5067095756530762, 0.5058187246322632, 0.4997265338897705, 0.4993820786476135, 0.49532610177993774, 0.49493634700775146, 0.4830172061920166, 0.4775266647338867, 0.4168439209461212]",29,19,34,3
sample,Institute,"1,3",Screen,0.8823529411764706,0.7586206896551724,0.5882352941176471,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 1.0]","[0.0, 0.08333333333333333, 0.5833333333333334, 0.5833333333333334, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]","[inf, 0.572945237159729, 0.47102096676826477, 0.4683699309825897, 0.46109530329704285, 0.45028620958328247, 0.448662132024765, 0.43719202280044556, 0.43677064776420593, 0.43037641048431396, 0.4302232265472412, 0.4257025122642517, 0.42368268966674805, 0.32553890347480774]",5,17,0,7
sample,Institute,"1,3",Day 0,0.8875000000000001,0.8076923076923077,0.6666666666666666,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.25, 0.25, 0.75, 0.75, 1.0]","[0.0, 0.1, 0.7, 0.7, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]","[inf, 0.536107063293457, 0.47315719723701477, 0.42141714692115784, 0.42135417461395264, 0.41246530413627625, 0.4078432619571686, 0.3586002588272095, 0.3572161793708801, 0.3208872079849243]",5,16,0,5
sample,Institute,"1,3",Adj Wk 1,0.8928571428571429,0.75,0.5714285714285714,"[0.0, 0.0, 0.0, 0.21428571428571427, 0.21428571428571427, 0.8571428571428571, 0.8571428571428571, 1.0]","[0.0, 0.1, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]","[inf, 0.5753424167633057, 0.45199042558670044, 0.43625956773757935, 0.4349258244037628, 0.3696686923503876, 0.3641430735588074, 0.33966973423957825]",4,14,0,6
sample,Institute,"1,3",Overall,0.8896276595744681,0.7721518987341772,0.6086956521739131,"[0.0, 0.0, 0.0, 0.02127659574468085, 0.02127659574468085, 0.0425531914893617, 0.0425531914893617, 0.1702127659574468, 0.1702127659574468, 0.2127659574468085, 0.2127659574468085, 0.2553191489361702, 0.2553191489361702, 0.2978723404255319, 0.2978723404255319, 0.3191489361702128, 0.3191489361702128, 0.48936170212765956, 0.48936170212765956, 0.8085106382978723, 0.8085106382978723, 0.8723404255319149, 0.8723404255319149, 1.0]","[0.0, 0.03125, 0.625, 0.625, 0.71875, 0.71875, 0.75, 0.75, 0.78125, 0.78125, 0.8125, 0.8125, 0.84375, 0.84375, 0.875, 0.875, 0.90625, 0.90625, 0.9375, 0.9375, 0.96875, 0.96875, 1.0, 1.0]","[inf, 0.5753424167633057, 0.47102096676826477, 0.4683699309825897, 0.45199042558670044, 0.45028620958328247, 0.448662132024765, 0.43719202280044556, 0.43677064776420593, 0.43625956773757935, 0.4349258244037628, 0.43037641048431396, 0.4302232265472412, 0.4257025122642517, 0.42368268966674805, 0.42141714692115784, 0.42135417461395264, 0.4087284207344055, 0.4078432619571686, 0.36623746156692505, 0.3641430735588074, 0.3586002588272095, 0.3572161793708801, 0.3208872079849243]",14,47,0,18
sample,Institute,"1,4",Screen,0.8458646616541354,0.7575757575757576,0.6923076923076923,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.3157894736842105, 0.3157894736842105, 0.42105263157894735, 0.42105263157894735, 1.0, 1.0]","[0.0, 0.07142857142857142, 0.5, 0.5, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0]","[inf, 0.6977545619010925, 0.6044362187385559, 0.5778979063034058, 0.5536952614784241, 0.5097008943557739, 0.4679819643497467, 0.450744092464447, 0.42506012320518494, 0.40567296743392944, 0.39880213141441345, 0.15405970811843872, 0.15149563550949097]",9,16,3,5
sample,Institute,"1,4",Day 0,0.8717948717948719,0.8709677419354839,0.8333333333333334,"[0.0, 0.0, 0.0, 0.05555555555555555, 0.05555555555555555, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]","[0.0, 0.07692307692307693, 0.38461538461538464, 0.38461538461538464, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0]","[inf, 0.7119643092155457, 0.644286036491394, 0.641667366027832, 0.49556851387023926, 0.3698669970035553, 0.3620406985282898, 0.23228035867214203, 0.21453914046287537]",10,17,1,3
sample,Institute,"1,4",Adj Wk 1,0.8977272727272727,0.8518518518518519,0.8181818181818182,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.625, 0.625, 1.0]","[0.0, 0.09090909090909091, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0]","[inf, 0.7148199081420898, 0.5536133050918579, 0.41692131757736206, 0.4126568138599396, 0.3500367999076843, 0.32901033759117126, 0.2174002230167389]",9,14,2,2
sample,Institute,"1,4",Overall,0.8684210526315789,0.8241758241758241,0.7777777777777778,"[0.0, 0.0, 0.0, 0.018867924528301886, 0.018867924528301886, 0.03773584905660377, 0.03773584905660377, 0.07547169811320754, 0.07547169811320754, 0.11320754716981132, 0.11320754716981132, 0.3018867924528302, 0.3018867924528302, 0.3584905660377358, 0.3584905660377358, 0.37735849056603776, 0.37735849056603776, 0.49056603773584906, 0.49056603773584906, 0.5849056603773585, 0.5849056603773585, 0.9811320754716981, 0.9811320754716981, 1.0, 1.0]","[0.0, 0.02631578947368421, 0.3157894736842105, 0.3157894736842105, 0.5263157894736842, 0.5263157894736842, 0.6842105263157895, 0.6842105263157895, 0.7105263157894737, 0.7105263157894737, 0.8157894736842105, 0.8157894736842105, 0.8421052631578947, 0.8421052631578947, 0.868421052631579, 0.868421052631579, 0.8947368421052632, 0.8947368421052632, 0.9210526315789473, 0.9210526315789473, 0.9473684210526315, 0.9473684210526315, 0.9736842105263158, 0.9736842105263158, 1.0]","[inf, 0.7148199081420898, 0.6425427198410034, 0.641667366027832, 0.6044362187385559, 0.5778979063034058, 0.553223729133606, 0.5247222185134888, 0.5193579792976379, 0.5064844489097595, 0.4679819643497467, 0.43683895468711853, 0.42506012320518494, 0.41692131757736206, 0.4126568138599396, 0.40567296743392944, 0.39880213141441345, 0.36822158098220825, 0.3620406985282898, 0.33430051803588867, 0.32901033759117126, 0.2174002230167389, 0.21453914046287537, 0.15405970811843872, 0.15149563550949097]",28,47,6,10
sample,Institute,"1,5",Screen,0.8196078431372549,0.625,0.3333333333333333,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.6470588235294118, 0.6470588235294118, 1.0]","[0.0, 0.06666666666666667, 0.26666666666666666, 0.26666666666666666, 0.6, 0.6, 0.7333333333333333, 0.7333333333333333, 0.8, 0.8, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0]","[inf, 0.5709576606750488, 0.4626011252403259, 0.43777725100517273, 0.40613847970962524, 0.36072447896003723, 0.34722429513931274, 0.3312718868255615, 0.32737523317337036, 0.3234761655330658, 0.31983813643455505, 0.3081074655056, 0.2990511357784271, 0.2193288505077362]",3,17,0,12
sample,Institute,"1,5",Day 0,0.7647058823529411,0.6896551724137931,0.47058823529411764,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.8235294117647058, 0.8235294117647058, 1.0]","[0.0, 0.08333333333333333, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.5661978125572205, 0.5400049686431885, 0.5275802612304688, 0.5003455281257629, 0.49607548117637634, 0.36842793226242065, 0.3336677849292755, 0.33003371953964233, 0.3298426568508148, 0.3288806080818176, 0.2462252378463745, 0.23054556548595428, 0.21831010282039642]",4,16,1,8
sample,Institute,"1,5",Adj Wk 1,0.875,0.6923076923076923,0.5555555555555556,"[0.0, 0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.9285714285714286, 0.9285714285714286, 1.0]","[0.0, 0.08333333333333333, 0.25, 0.25, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]","[inf, 0.6547624468803406, 0.5580095052719116, 0.5447319746017456, 0.3844647705554962, 0.2454308569431305, 0.21989107131958008, 0.14262548089027405]",5,13,1,7
sample,Institute,"1,5",Overall,0.8242521367521368,0.6666666666666666,0.4528301886792453,"[0.0, 0.0, 0.0, 0.020833333333333332, 0.020833333333333332, 0.041666666666666664, 0.041666666666666664, 0.0625, 0.0625, 0.08333333333333333, 0.08333333333333333, 0.125, 0.125, 0.20833333333333334, 0.20833333333333334, 0.3125, 0.3125, 0.3333333333333333, 0.3333333333333333, 0.3541666666666667, 0.3541666666666667, 0.4166666666666667, 0.4166666666666667, 0.5208333333333334, 0.5208333333333334, 0.875, 0.875, 0.8958333333333334, 0.8958333333333334, 0.9166666666666666, 0.9166666666666666, 1.0]","[0.0, 0.02564102564102564, 0.1794871794871795, 0.1794871794871795, 0.20512820512820512, 0.20512820512820512, 0.3076923076923077, 0.3076923076923077, 0.48717948717948717, 0.48717948717948717, 0.717948717948718, 0.717948717948718, 0.7435897435897436, 0.7435897435897436, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[inf, 0.6547624468803406, 0.5568538904190063, 0.5447319746017456, 0.5400049686431885, 0.5275802612304688, 0.5003455281257629, 0.49607548117637634, 0.44193559885025024, 0.43777725100517273, 0.36842793226242065, 0.36072447896003723, 0.3606472313404083, 0.34851327538490295, 0.34722429513931274, 0.3312718868255615, 0.33003371953964233, 0.3298426568508148, 0.3288806080818176, 0.32870301604270935, 0.32737523317337036, 0.3234761655330658, 0.31983813643455505, 0.3081074655056, 0.2990511357784271, 0.2454308569431305, 0.2417735457420349, 0.23265472054481506, 0.23054556548595428, 0.22249551117420197, 0.21989107131958008, 0.14262548089027405]",12,46,2,27
sample,Institute,"1,6",Screen,0.8466666666666667,0.7714285714285715,0.6666666666666666,"[0.0, 0.0, 0.0, 0.05, 0.05, 0.1, 0.1, 0.2, 0.2, 0.45, 0.45, 0.5, 0.5, 1.0]","[0.0, 0.06666666666666667, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.6666666666666666, 0.6666666666666666, 0.7333333333333333, 0.7333333333333333, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0]","[inf, 0.6721124649047852, 0.5755598545074463, 0.5719633102416992, 0.559240460395813, 0.4810055196285248, 0.4665134847164154, 0.44242310523986816, 0.41316449642181396, 0.35249000787734985, 0.33478158712387085, 0.3297061622142792, 0.32860302925109863, 0.22083845734596252]",8,19,1,7
